-1.221268900000000018e-01,-4.176032999999999828e-02,-2.625417000000000028e-02,-7.108650100000000194e-01,-2.603932999999999942e-02,6.874569099999999766e-01,7.475954999999999684e-01
-3.003224999999999992e-02,2.620926900000000170e-01,-2.034408000000000050e-02,-7.191071900000000072e-01,-2.185400000000000103e-03,8.109211400000000403e-01,7.617473200000000055e-01
-9.408120000000000718e-03,2.327207500000000040e-01,-1.063236000000000042e-02,-7.167043400000000508e-01,-3.061509999999999926e-03,8.116625800000000224e-01,2.260269989999999840e+00
5.912510000000000161e-03,2.856838400000000222e-01,1.544770999999999991e-02,-7.245466299999999693e-01,-3.533720000000000177e-03,7.257913400000000070e-01,-9.388012999999999497e-01
-4.717767999999999962e-02,3.637439000000000089e-01,5.321720000000000270e-03,-6.923062399999999617e-01,-8.386529999999999679e-03,1.025063300000000011e+00,-2.327720620000000018e+00
-1.305457399999999935e-01,7.722923000000000426e-01,-2.814381999999999995e-02,-7.001046300000000056e-01,-8.261130000000000209e-03,1.107727399999999918e+00,-2.331116320000000020e+00
6.151985000000000092e-02,7.723509400000000413e-01,-2.687780000000000030e-02,-7.000526500000000540e-01,-9.029920000000000307e-03,1.080825740000000090e+00,-2.331761929999999872e+00
5.007180399999999754e-01,8.018818199999999674e-01,1.070201999999999959e-01,-7.571833100000000538e-01,-5.167343399999999587e-01,1.037679690000000043e+00,-2.841492510000000138e+00
8.798783999999999772e-02,1.048124510000000065e+00,1.008011099999999993e-01,-7.236136199999999574e-01,-2.830179199999999784e-01,1.120422290000000043e+00,-2.579360669999999800e+00
-1.444777399999999934e-01,1.035131259999999997e+00,9.209512999999999727e-02,-7.160055400000000514e-01,-2.829885200000000212e-01,1.176204969999999905e+00,-2.571494780000000091e+00
-3.805072500000000191e-01,1.028552820000000034e+00,9.274788999999999950e-02,-7.095370300000000130e-01,-2.814680299999999802e-01,1.200629479999999916e+00,-2.570294430000000130e+00
-6.101969200000000315e-01,1.034414490000000075e+00,8.566308999999999729e-02,-7.038571999999999607e-01,1.177014700000000025e-01,1.186109999999999998e+00,-2.029956299999999825e+00
-8.618840700000000021e-01,8.785015699999999539e-01,7.032048999999999939e-02,-7.051437000000000399e-01,2.476643400000000106e-01,1.172853740000000089e+00,-1.631857789999999975e+00
-3.980904699999999741e-01,5.710342900000000554e-01,8.431692999999999827e-02,-6.392517300000000180e-01,-1.051854299999999964e-01,1.212894750000000021e+00,-2.301798219999999784e+00
-6.395241000000000120e-02,5.535868000000000455e-01,1.108078900000000061e-01,-6.396641699999999764e-01,-1.051973400000000003e-01,1.109224570000000076e+00,-2.373267450000000167e+00
2.210755199999999976e-01,5.658098400000000083e-01,1.220870899999999953e-01,-6.409458999999999573e-01,-1.448999599999999943e-01,1.141611190000000109e+00,-2.673675450000000176e+00
-2.365661000000000153e-02,3.855122699999999902e-01,3.087020000000000042e-02,-6.470509899999999925e-01,-4.113101999999999731e-02,1.062128119999999898e+00,-7.942325000000000079e-01
-3.633212000000000247e-02,3.276701899999999723e-01,1.499276000000000081e-02,-6.469827200000000111e-01,-4.192604999999999943e-02,9.510747800000000085e-01,8.118739799999999951e-01
-9.143363999999999658e-02,-7.423499500000000362e-01,-4.984741000000000172e-02,-2.081753149999999941e+00,-3.155738000000000293e-02,1.405125680000000044e+00,8.087584799999999463e-01
