-3.483991300000000013e-01,2.214015599999999973e-01,1.393075300000000127e-01,-1.031440099999999971e+00,-2.689180999999999863e-02,1.111571249999999900e+00,7.628599000000000352e-01
-6.589585900000000107e-01,1.670949200000000079e-01,-2.965396000000000004e-02,-1.067452740000000011e+00,1.918951100000000076e-01,1.075924010000000042e+00,2.836058799999999769e-01
9.596343999999999708e-02,6.258031999999999484e-02,2.698788100000000245e-01,-9.310331400000000368e-01,-2.016955300000000117e-01,9.214829599999999621e-01,1.081925129999999902e+00
-4.808949000000000140e-01,4.304714000000000040e-01,9.555039999999999367e-02,-9.145811600000000041e-01,9.236917000000000044e-02,1.034187170000000044e+00,9.081082799999999899e-01
-3.396523900000000262e-01,3.234573900000000113e-01,-5.040637300000000431e-01,-1.348605969999999932e+00,3.896008799999999828e-01,1.305467289999999947e+00,-5.913519999999999888e-02
1.724837100000000123e-01,-1.303357300000000107e-01,-2.110327300000000017e-01,-2.016834460000000107e+00,-2.891834000000000071e-02,1.853386390000000050e+00,7.847507099999999625e-01
3.636374099999999943e-01,1.686702499999999938e-01,2.021831099999999992e-01,-1.632485860000000066e+00,-3.923582700000000090e-01,1.327512900000000107e+00,1.493520760000000003e+00
4.856553000000000120e-01,-1.222471059999999943e+00,-6.377931000000000572e-02,-2.607713899999999807e+00,-2.411351899999999993e-01,1.687813339999999940e+00,1.279451539999999943e+00
6.256774800000000081e-01,-1.212200740000000110e+00,-6.406822699999999982e-01,-2.239454030000000095e+00,-5.712157500000000221e-01,1.468798459999999917e+00,5.750537399999999799e-01
8.176859600000000450e-01,-5.408579199999999920e-01,4.856073999999999807e-02,-2.059188830000000081e+00,-3.559499600000000097e-01,1.405217689999999964e+00,2.534262950000000014e+00
7.819506899999999483e-01,-2.100960500000000064e-01,-7.683848899999999871e-01,-9.495746200000000359e-01,-1.190433999999999937e-01,8.551502800000000404e-01,8.512998099999999901e-01
